input,loop count,thread count,time averaged over 5 runs,custom barrier
seq_64_test.txt,10,0,1.2,False
seq_64_test.txt,10,0,1.2,True
seq_64_test.txt,10,2,413.8,False
seq_64_test.txt,10,2,700.4,True
seq_64_test.txt,10,4,989.0,False
seq_64_test.txt,10,4,1489.6,True
seq_64_test.txt,10,6,1324.8,False
seq_64_test.txt,10,6,2315.0,True
seq_64_test.txt,10,8,1757.4,False
seq_64_test.txt,10,8,3050.2,True
seq_64_test.txt,10,10,2250.6,False
seq_64_test.txt,10,10,3675.6,True
seq_64_test.txt,10,12,2672.0,False
seq_64_test.txt,10,12,4216.6,True
seq_64_test.txt,10,14,3055.8,False
seq_64_test.txt,10,14,5082.6,True
seq_64_test.txt,10,16,3646.0,False
seq_64_test.txt,10,16,6123.2,True
seq_64_test.txt,10,18,3789.4,False
seq_64_test.txt,10,18,6377.2,True
seq_64_test.txt,10,20,4375.2,False
seq_64_test.txt,10,20,7295.8,True
seq_64_test.txt,10,22,4878.8,False
seq_64_test.txt,10,22,8006.2,True
seq_64_test.txt,10,24,4948.6,False
seq_64_test.txt,10,24,9666.0,True
seq_64_test.txt,10,26,5368.6,False
seq_64_test.txt,10,26,9274.2,True
seq_64_test.txt,10,28,6665.8,False
seq_64_test.txt,10,28,14959.8,True
seq_64_test.txt,10,30,10004.4,False
seq_64_test.txt,10,30,10760.2,True
seq_64_test.txt,10,32,6780.0,False
seq_64_test.txt,10,32,11295.4,True
seq_64_test.txt,50,0,7.4,False
seq_64_test.txt,50,0,8.6,True
seq_64_test.txt,50,2,600.6,False
seq_64_test.txt,50,2,718.4,True
seq_64_test.txt,50,4,1323.8,False
seq_64_test.txt,50,4,2539.8,True
seq_64_test.txt,50,6,1792.8,False
seq_64_test.txt,50,6,2966.2,True
seq_64_test.txt,50,8,2506.6,False
seq_64_test.txt,50,8,5406.8,True
seq_64_test.txt,50,10,2902.6,False
seq_64_test.txt,50,10,5442.0,True
seq_64_test.txt,50,12,3772.2,False
seq_64_test.txt,50,12,5828.4,True
seq_64_test.txt,50,14,5271.6,False
seq_64_test.txt,50,14,6900.2,True
seq_64_test.txt,50,16,6745.6,False
seq_64_test.txt,50,16,8183.0,True
seq_64_test.txt,50,18,5230.0,False
seq_64_test.txt,50,18,8522.4,True
seq_64_test.txt,50,20,5885.4,False
seq_64_test.txt,50,20,11058.8,True
seq_64_test.txt,50,22,6160.6,False
seq_64_test.txt,50,22,10748.8,True
seq_64_test.txt,50,24,6540.2,False
seq_64_test.txt,50,24,11487.4,True
seq_64_test.txt,50,26,7349.6,False
seq_64_test.txt,50,26,12918.8,True
seq_64_test.txt,50,28,7792.0,False
seq_64_test.txt,50,28,11647.0,True
seq_64_test.txt,50,30,9053.8,False
seq_64_test.txt,50,30,11280.4,True
seq_64_test.txt,50,32,6608.6,False
seq_64_test.txt,50,32,11360.8,True
seq_64_test.txt,100,0,17.0,False
seq_64_test.txt,100,0,17.6,True
seq_64_test.txt,100,2,459.8,False
seq_64_test.txt,100,2,690.2,True
seq_64_test.txt,100,4,935.2,False
seq_64_test.txt,100,4,1481.4,True
seq_64_test.txt,100,6,1407.6,False
seq_64_test.txt,100,6,2340.0,True
seq_64_test.txt,100,8,1824.4,False
seq_64_test.txt,100,8,2945.2,True
seq_64_test.txt,100,10,2210.6,False
seq_64_test.txt,100,10,3601.4,True
seq_64_test.txt,100,12,2593.4,False
seq_64_test.txt,100,12,4273.4,True
seq_64_test.txt,100,14,3046.6,False
seq_64_test.txt,100,14,5143.0,True
seq_64_test.txt,100,16,3890.8,False
seq_64_test.txt,100,16,5801.0,True
seq_64_test.txt,100,18,3908.8,False
seq_64_test.txt,100,18,6504.8,True
seq_64_test.txt,100,20,4301.2,False
seq_64_test.txt,100,20,7505.0,True
seq_64_test.txt,100,22,4826.8,False
seq_64_test.txt,100,22,7973.0,True
seq_64_test.txt,100,24,5183.0,False
seq_64_test.txt,100,24,8794.6,True
seq_64_test.txt,100,26,6199.2,False
seq_64_test.txt,100,26,9451.0,True
seq_64_test.txt,100,28,6153.6,False
seq_64_test.txt,100,28,10057.4,True
seq_64_test.txt,100,30,6396.6,False
seq_64_test.txt,100,30,10622.6,True
seq_64_test.txt,100,32,6644.0,False
seq_64_test.txt,100,32,11296.8,True
seq_64_test.txt,500,0,116.6,False
seq_64_test.txt,500,0,102.0,True
seq_64_test.txt,500,2,542.0,False
seq_64_test.txt,500,2,675.6,True
seq_64_test.txt,500,4,878.4,False
seq_64_test.txt,500,4,1376.8,True
seq_64_test.txt,500,6,1473.2,False
seq_64_test.txt,500,6,2134.8,True
seq_64_test.txt,500,8,1791.2,False
seq_64_test.txt,500,8,2844.4,True
seq_64_test.txt,500,10,2220.6,False
seq_64_test.txt,500,10,3916.4,True
seq_64_test.txt,500,12,2585.6,False
seq_64_test.txt,500,12,4268.0,True
seq_64_test.txt,500,14,3044.4,False
seq_64_test.txt,500,14,5273.0,True
seq_64_test.txt,500,16,3925.6,False
seq_64_test.txt,500,16,11527.6,True
seq_64_test.txt,500,18,4448.4,False
seq_64_test.txt,500,18,6574.6,True
seq_64_test.txt,500,20,4476.2,False
seq_64_test.txt,500,20,7755.0,True
seq_64_test.txt,500,22,5259.0,False
seq_64_test.txt,500,22,8718.6,True
seq_64_test.txt,500,24,5619.2,False
seq_64_test.txt,500,24,13506.0,True
seq_64_test.txt,500,26,6727.8,False
seq_64_test.txt,500,26,11331.4,True
seq_64_test.txt,500,28,7769.4,False
seq_64_test.txt,500,28,11821.8,True
seq_64_test.txt,500,30,7265.4,False
seq_64_test.txt,500,30,11854.8,True
seq_64_test.txt,500,32,9916.4,False
seq_64_test.txt,500,32,14633.8,True
seq_64_test.txt,1000,0,201.0,False
seq_64_test.txt,1000,0,202.0,True
seq_64_test.txt,1000,2,1008.6,False
seq_64_test.txt,1000,2,1345.8,True
seq_64_test.txt,1000,4,1788.6,False
seq_64_test.txt,1000,4,1507.4,True
seq_64_test.txt,1000,6,3374.2,False
seq_64_test.txt,1000,6,5317.8,True
seq_64_test.txt,1000,8,3826.8,False
seq_64_test.txt,1000,8,3230.4,True
seq_64_test.txt,1000,10,3425.6,False
